holiday,ds,lower_window,upper_window
NY,2018-01-01 00:00:00,-4,7
23F,2018-02-23 00:00:00,-1,2
8W,2018-03-08 00:00:00,-1,3
1M,2018-05-01 00:00:00,-3,1
9M,2018-05-09 00:00:00,-1,0
12J,2018-06-12 00:00:00,-3,0
4N,2018-11-04 00:00:00,-1,1
NY,2019-01-01 00:00:00,-4,7
23F,2019-02-23 00:00:00,-1,1
8W,2019-03-08 00:00:00,-1,2
1M,2019-05-01 00:00:00,-1,4
9M,2019-05-09 00:00:00,-1,3
12J,2019-06-12 00:00:00,-1,0
4N,2019-11-04 00:00:00,-2,0
NY,2020-01-01 00:00:00,-4,7
23F,2020-02-23 00:00:00,-1,1
8W,2020-03-08 00:00:00,-1,1
1M,2020-05-01 00:00:00,-1,4
9M,2020-05-09 00:00:00,-1,2
12J,2020-06-12 00:00:00,-1,2
4N,2020-11-04 00:00:00,-1,0
NY,2021-01-01 00:00:00,-4,9
23F,2021-02-23 00:00:00,-3,0
8W,2021-03-08 00:00:00,-2,0
1M,2021-05-01 00:00:00,-1,8
9M,2021-05-09 00:00:00,-1,1
12J,2021-06-12 00:00:00,-1,2
4N,2021-11-04 00:00:00,-4,3
NY,2022-01-01 00:00:00,-4,8
23F,2022-02-23 00:00:00,-1,0
8W,2022-03-08 00:00:00,-3,0
1M,2022-05-01 00:00:00,-1,2
9M,2022-05-09 00:00:00,-2,1
12J,2022-06-12 00:00:00,-1,1
4N,2022-11-04 00:00:00,-1,2
NY,2023-01-01 00:00:00,-4,7
23F,2023-02-23 00:00:00,-1,0
8W,2023-03-08 00:00:00,-1,0
1M,2023-05-01 00:00:00,-2,0
9M,2023-05-09 00:00:00,-3,0
12J,2023-06-12 00:00:00,-2,0
4N,2023-11-04 00:00:00,-1,2
NY,2024-01-01 00:00:00,-4,0
